method,metric,scale,n,mean,std,baseline_scale,baseline_mean,delta_vs_baseline,pct_change_vs_baseline
oncl,proj_true_dist,1.0,21,0.2787136696279049,0.15750544849835846,0.2,0.4535014231999715,-0.1747877535720666,-38.54183132188186
oncl,proj_true_dist,1.5,21,0.26138834229537417,0.17064892074253676,0.2,0.4535014231999715,-0.19211308090459733,-42.36217817113334
oncl,proj_true_dist,3.0,21,0.2601779152949651,0.17063332926689875,0.2,0.4535014231999715,-0.1933235079050064,-42.62908516160497
oncl,proj_manifold_dist,0.2,21,0.23783464836222784,0.09951948809776397,0.2,0.23783464836222784,0.0,0.0
oncl,proj_manifold_dist,0.5,21,0.10176884418442136,0.08460323771264619,0.2,0.23783464836222784,-0.13606580417780648,-57.2102530538675
oncl,proj_manifold_dist,0.75,21,0.09347226133658773,0.08325566826748244,0.2,0.23783464836222784,-0.1443623870256401,-60.698635804221745
oncl,proj_manifold_dist,1.0,21,0.06005229783200082,0.03264937337694755,0.2,0.23783464836222784,-0.177782350530227,-74.75039980695338
oncl,proj_manifold_dist,1.5,21,0.04349314740725926,0.015328413904191245,0.2,0.23783464836222784,-0.19434150095496858,-81.71286324059135
oncl,proj_manifold_dist,3.0,21,0.03764830325685796,0.01249957040101546,0.2,0.23783464836222784,-0.20018634510536987,-84.17038748722653
oncl,bidirectional_chamfer,0.2,21,0.4598652386949176,0.4333374529470999,0.2,0.4598652386949176,0.0,0.0
oncl,bidirectional_chamfer,0.5,21,0.16924998181916417,0.1853986348796093,0.2,0.4598652386949176,-0.2906152568757534,-63.195743540109696
oncl,bidirectional_chamfer,0.75,21,0.1455077257539545,0.16347030451496652,0.2,0.4598652386949176,-0.3143575129409631,-68.35861606611088
oncl,bidirectional_chamfer,1.0,21,0.09275071074565251,0.059606577172333655,0.2,0.4598652386949176,-0.3671145279492651,-79.83089328324185
oncl,bidirectional_chamfer,1.5,21,0.07159194013192541,0.02780031087952416,0.2,0.4598652386949176,-0.3882732985629922,-84.43197395500017
oncl,bidirectional_chamfer,3.0,21,0.06626481837814763,0.031084244403870285,0.2,0.4598652386949176,-0.39360042031676995,-85.59038326832335
oncl,pred_recall,0.2,21,0.1426369012901165,0.11045530019574214,0.2,0.1426369012901165,0.0,0.0
oncl,pred_recall,0.5,21,0.43434507897161,0.1837932946233756,0.2,0.1426369012901165,0.2917081776814935,204.51101716530795
oncl,pred_recall,0.75,21,0.525800299268147,0.21022262076864032,0.2,0.1426369012901165,0.38316339797803045,268.62852074912564
oncl,pred_recall,1.0,21,0.6533070316441927,0.1352127634703295,0.2,0.1426369012901165,0.5106701303540762,358.02104906597634
oncl,pred_recall,1.5,21,0.7600969236484327,0.11412647606567396,0.2,0.1426369012901165,0.6174600223583162,432.88939732533356
oncl,pred_recall,3.0,21,0.829000420086378,0.07497460765210537,0.2,0.1426369012901165,0.6863635187962615,481.1963191770631
oncl,pred_precision,0.2,21,0.13762555803571427,0.10397330229771345,0.2,0.13762555803571427,0.0,0.0
oncl,pred_precision,0.5,21,0.43737211681547616,0.3251183186160205,0.2,0.13762555803571427,0.29974655877976186,217.79861463084978
oncl,pred_precision,0.75,21,0.5174618675595238,0.3507058163953893,0.2,0.13762555803571427,0.37983630952380953,275.99256631187706
oncl,pred_precision,1.0,21,0.580322265625,0.3629271309253127,0.2,0.13762555803571427,0.4426967075892857,321.66751140395337
oncl,pred_precision,1.5,21,0.6626674107142857,0.36089286481027183,0.2,0.13762555803571427,0.5250418526785714,381.500253421186
oncl,pred_precision,3.0,21,0.7088099888392857,0.31806977696617306,0.2,0.13762555803571427,0.5711844308035714,415.02787633046125
oncl,pred_FPrate,0.2,21,0.014095997292037995,0.013745344019695554,0.2,0.014095997292037995,0.0,0.0
oncl,pred_FPrate,0.5,21,0.0036032558499023643,0.004881024454007002,0.2,0.014095997292037995,-0.01049274144213563,-74.43773735727352
oncl,pred_FPrate,0.75,21,0.0042230198681715465,0.0069029678393303755,0.2,0.014095997292037995,-0.009872977423866449,-70.04099972013414
oncl,pred_FPrate,1.0,21,0.001746316630482295,0.0025625273977794914,0.2,0.014095997292037995,-0.012349680661555701,-87.61125875450695
oncl,pred_FPrate,1.5,21,0.0005988575874101088,0.0005578365743147654,0.2,0.014095997292037995,-0.013497139704627886,-95.75157702571092
oncl,pred_FPrate,3.0,21,0.0005521835575481779,0.0006160193226784537,0.2,0.014095997292037995,-0.013543813734489818,-96.08269251115654
oncl,train_seconds,0.2,21,14.319371274539403,14.142313117069572,0.2,14.319371274539403,0.0,0.0
oncl,train_seconds,0.5,21,30.170057111913117,33.874021424510424,0.2,14.319371274539403,15.850685837373714,110.69400697471312
oncl,train_seconds,0.75,21,44.97296234204329,49.945483625996076,0.2,14.319371274539403,30.653591067503886,214.07078900180196
oncl,train_seconds,1.0,21,61.670024676087664,73.59772887144473,0.2,14.319371274539403,47.35065340154826,330.6755058843974
oncl,train_seconds,1.5,21,84.24159849934291,96.8306956996514,0.2,14.319371274539403,69.9222272248035,488.3051489078219
oncl,train_seconds,3.0,21,163.58424445042397,200.5366235988709,0.2,14.319371274539403,149.26487317588456,1042.3982332330845
